Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"Not provided","Teachg Asst-Gship",36735.0,0.0,0.0,8982.0,45717.0,2019,"None","University of California",
"Not Provided","Teachg Asst-Gship",45651.0,0.0,0.0,0.0,45651.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",42201.0,0.0,0.0,3415.0,45616.0,2019,"None","University of California",
"Not provided","Teachg Asst-Gship",45613.0,0.0,0.0,0.0,45613.0,2019,"None","University of California",
"Not Provided","Teachg Asst-Gship",40426.0,0.0,5150.0,0.0,45576.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",32352.0,0.0,0.0,13210.0,45562.0,2015,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",33703.0,0.0,3996.0,7836.0,45535.0,2014,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",32513.0,0.0,13018.0,0.0,45531.0,2023,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",36022.0,0.0,9425.0,0.0,45447.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",28270.0,0.0,17127.0,0.0,45397.0,2020,"None","University of California",
"Not provided","Teachg Asst-1/10-Gship",43594.0,0.0,1650.0,0.0,45244.0,2020,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",33167.0,0.0,2959.0,9041.0,45167.0,2018,"None","University of California",
"**** ****","Teachg Asst-1/10-Gship",45133.0,0.0,0.0,0.0,45133.0,2021,"None","University of California",
"Not provided","Teachg Asst-Gship",45122.0,0.0,0.0,0.0,45122.0,2020,"None","University of California",
"Not Provided","Teachg Asst-Gship",33686.0,0.0,11364.0,0.0,45050.0,2023,"None","University of California",
"**** ****","Teachg Asst-1/10-Gship",45029.0,0.0,0.0,0.0,45029.0,2021,"None","University of California",
"Not Provided","Teachg Asst-Gship",39750.0,0.0,5278.0,0.0,45028.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",23881.0,0.0,11016.0,10126.0,45023.0,2014,"None","University of California",
"Not Provided","Teachg Asst-Gship",45004.0,0.0,0.0,0.0,45004.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",44983.0,0.0,0.0,0.0,44983.0,2017,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",31101.0,112.0,4912.0,8841.0,44966.0,2017,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",31967.0,0.0,3177.0,9806.0,44950.0,2017,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",44949.0,0.0,0.0,0.0,44949.0,2023,"None","University of California",
"Not Provided","Teachg Asst-Gship",41113.0,0.0,3788.0,0.0,44901.0,2023,"None","University of California",
"**** ****","Teachg Asst-Gship",25720.0,0.0,19165.0,0.0,44885.0,2021,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",41233.32,0.0,3571.61,0.0,44804.93,2012,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",32670.0,0.0,0.0,12129.0,44799.0,2015,"None","University of California",
"Not Provided","Teachg Asst-Gship",38178.0,0.0,6594.0,0.0,44772.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",44756.0,0.0,0.0,0.0,44756.0,2020,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",44751.0,0.0,0.0,0.0,44751.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",34454.0,0.0,9855.0,438.0,44747.0,2020,"None","University of California",
"Not provided","Teachg Asst-Gship",32295.0,0.0,12436.0,0.0,44731.0,2019,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",44674.0,0.0,0.0,0.0,44674.0,2023,"None","University of California",
"Not provided","TEACHG ASST-NON GSHIP",28685.0,0.0,6258.0,9708.0,44651.0,2018,"None","University of California",
"Not provided","Teachg Asst-Gship",40789.0,0.0,0.0,3842.0,44631.0,2020,"None","University of California",
"Not Provided","Teachg Asst-Gship",38942.0,0.0,5682.0,0.0,44624.0,2023,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",38211.0,0.0,6406.0,0.0,44617.0,2022,"None","University of California",
"**** ****","Teachg Asst-Gship",35556.0,0.0,9047.0,0.0,44603.0,2021,"None","University of California",
"Not Provided","Teachg Asst-Gship",42675.0,0.0,1928.0,0.0,44603.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",44599.0,0.0,0.0,0.0,44599.0,2019,"None","University of California",
"Not Provided","Teachg Asst-Gship",41414.0,0.0,0.0,3177.0,44591.0,2023,"None","University of California",
"Not Provided","Teachg Asst-Gship",44589.0,0.0,0.0,0.0,44589.0,2022,"None","University of California",
"Not provided","Teachg Asst-Gship",44587.0,0.0,0.0,0.0,44587.0,2019,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",44587.0,0.0,0.0,0.0,44587.0,2017,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",44475.0,0.0,100.0,0.0,44575.0,2018,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",44475.0,0.0,100.0,0.0,44575.0,2018,"None","University of California",
"**** ****","Teachg Asst-Gship",39802.0,0.0,4765.0,0.0,44567.0,2021,"None","University of California",
"Not Provided","Teachg Asst-Gship",26371.0,0.0,18180.0,0.0,44551.0,2022,"None","University of California",
"Not Provided","Teachg Asst-Gship",37863.0,0.0,0.0,6672.0,44535.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",37523.0,0.0,4626.0,2379.0,44528.0,2020,"None","University of California",
"Not Provided","Teachg Asst-Gship",44519.0,0.0,0.0,0.0,44519.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",41669.0,0.0,0.0,2845.0,44514.0,2020,"None","University of California",
"**** ****","Teachg Asst-Gship",34079.0,0.0,10404.0,0.0,44483.0,2021,"None","University of California",
"Not provided","Teachg Asst-Gship",44431.0,0.0,0.0,0.0,44431.0,2020,"None","University of California",
"**** ****","Teachg Asst-Gship",38274.0,0.0,6156.0,0.0,44430.0,2021,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",44291.0,0.0,0.0,0.0,44291.0,2017,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",33463.0,254.0,3220.0,7346.0,44283.0,2018,"None","University of California",
"Not Provided","Teachg Asst-Gship",31365.0,0.0,4898.0,7969.0,44232.0,2022,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",34139.0,0.0,614.0,9466.0,44219.0,2016,"None","University of California",
"**** ****","Teachg Asst-Gship",30901.0,0.0,13290.0,0.0,44191.0,2021,"None","University of California",
"Not Provided","Teachg Asst-Gship",30846.0,0.0,2176.0,11159.0,44181.0,2023,"None","University of California",
"Not provided","Teachg Asst-1/10-Gship",44157.0,0.0,0.0,0.0,44157.0,2020,"None","University of California",
"Not Provided","Teachg Asst-Gship",36397.0,0.0,7753.0,0.0,44150.0,2022,"None","University of California",
"Not Provided","Teachg Asst-Gship",33573.0,0.0,10556.0,0.0,44129.0,2023,"None","University of California",
"Not provided","Teachg Asst-1/10-Gship",43247.0,0.0,0.0,875.0,44122.0,2020,"None","University of California",
"Not Provided","Teachg Asst-Gship",44111.0,0.0,0.0,0.0,44111.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",40567.0,0.0,0.0,3535.0,44102.0,2020,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",39234.0,0.0,4860.0,0.0,44094.0,2018,"None","University of California",
"Not Provided","Teachg Asst-Gship",40077.0,0.0,4000.0,0.0,44077.0,2023,"None","University of California",
"Not Provided","Teachg Asst-Gship",44022.0,0.0,0.0,0.0,44022.0,2023,"None","University of California",
