Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"Not provided","GSR-PARTIAL FEE REM",50454.0,0.0,1555.0,6395.0,58404.0,2018,"None","University of California",
"Not provided","Gsr-Full Fee Rem",45133.0,0.0,0.0,13252.0,58385.0,2020,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",55201.0,0.0,0.0,3177.0,58378.0,2023,"None","University of California",
"Not provided","Gsr-No Rem",58288.0,0.0,0.0,0.0,58288.0,2020,"None","University of California",
"Not provided","Gsr-Full Fee Rem",54791.0,0.0,0.0,3467.0,58258.0,2020,"None","University of California",
"Not provided","Gsr-Full Fee Rem",53799.0,0.0,0.0,4439.0,58238.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",43854.0,331.0,1351.0,12695.0,58231.0,2016,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",56745.0,0.0,0.0,1451.0,58196.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",51004.0,0.0,0.0,7140.0,58144.0,2019,"None","University of California",
"Not provided","Gsr-Full Fee Rem",56386.0,0.0,0.0,1686.0,58072.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",42193.0,0.0,7987.0,7805.0,57985.0,2016,"None","University of California",
"Not provided","GSR-NO REM",42364.0,0.0,6652.0,8961.0,57977.0,2016,"None","University of California",
"Not provided","Gsr-No Rem",47573.0,0.0,0.0,10383.0,57956.0,2020,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",57934.0,0.0,0.0,0.0,57934.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",55953.0,0.0,0.0,1952.0,57905.0,2022,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",43191.0,0.0,12098.0,2564.0,57853.0,2023,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",46604.0,0.0,0.0,11191.0,57795.0,2020,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54610.0,0.0,0.0,3177.0,57787.0,2023,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",54474.0,0.0,0.0,3283.0,57757.0,2023,"None","University of California",
"**** ****","Gsr-Tuit &amp; Fee Rem",57718.0,0.0,0.0,0.0,57718.0,2021,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",52475.0,0.0,0.0,5169.0,57644.0,2019,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",52443.0,0.0,5025.0,0.0,57468.0,2023,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",53604.0,0.0,0.0,3839.0,57443.0,2023,"None","University of California",
"Not provided","Gsr-No Rem",49271.0,0.0,0.0,8163.0,57434.0,2020,"None","University of California",
"**** ****","Gsr-Full Fee Rem",53348.0,0.0,3983.0,0.0,57331.0,2021,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54641.0,0.0,0.0,2659.0,57300.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",53958.0,0.0,0.0,3177.0,57135.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",54518.0,0.0,0.0,2603.0,57121.0,2022,"None","University of California",
"Not provided","Gsr-Full Fee Rem",57102.0,0.0,0.0,0.0,57102.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",46161.0,0.0,1715.0,9188.0,57064.0,2014,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",41893.0,0.0,15137.0,0.0,57030.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",43033.0,0.0,1226.0,12768.0,57027.0,2017,"None","University of California",
"Not provided","GSR-NO REM",43682.0,0.0,1916.0,11309.0,56907.0,2017,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",56879.0,0.0,0.0,0.0,56879.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55932.0,0.0,0.0,916.0,56848.0,2022,"None","University of California",
"Not provided","Gsr-No Rem",44162.0,0.0,3318.0,9367.0,56847.0,2019,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",56766.0,0.0,0.0,0.0,56766.0,2022,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",50028.0,0.0,0.0,6732.0,56760.0,2020,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",56660.0,0.0,0.0,0.0,56660.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",52959.0,0.0,0.0,3673.0,56632.0,2019,"None","University of California",
"Not provided","GSR-FULL FEE REM",41596.0,2356.0,1932.0,10716.0,56600.0,2017,"None","University of California",
"Not provided","Gsr-No Rem",55278.0,0.0,0.0,1313.0,56591.0,2019,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54473.0,0.0,0.0,2118.0,56591.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55906.0,0.0,600.0,0.0,56506.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",55001.0,0.0,1500.0,0.0,56501.0,2020,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54477.0,0.0,2000.0,0.0,56477.0,2022,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",47346.0,0.0,8055.0,1059.0,56460.0,2023,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM",43678.0,0.0,0.0,12706.0,56384.0,2014,"None","University of California",
"**** ****","Gsr-Full Fee Rem",55084.0,74.0,1224.0,0.0,56382.0,2021,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",51363.0,0.0,0.0,5004.0,56367.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",56352.0,0.0,0.0,0.0,56352.0,2023,"None","University of California",
"Not provided","Gsr-No Rem",49430.0,0.0,0.0,6919.0,56349.0,2019,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",50712.0,0.0,1500.0,4057.0,56269.0,2022,"None","University of California",
"Not provided","GSR-FULL FEE REM",42976.0,0.0,100.0,13155.0,56231.0,2014,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",56231.0,0.0,0.0,0.0,56231.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",46958.0,0.0,9257.0,0.0,56215.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",56001.0,0.0,0.0,0.0,56001.0,2023,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",51657.0,0.0,0.0,4313.0,55970.0,2019,"None","University of California",
"Not provided","Gsr-Full Fee Rem",53199.0,0.0,0.0,2702.0,55901.0,2019,"None","University of California",
